,Ticker,Latest_Price,Score,PE_Ratio,PEG_Ratio,SMA_150,SMA_200,52_Week_Low,52_Week_High
0,AMAT,128.17999267578125,94,26.69,0.84,119.55,107.02,54.15,146.0
1,APTV,149.75,87,22.47,0.89,144.67,135.08,76.18,160.53
2,AXP,170.00999450683594,88,27.87,0.89,143.28,134.27,89.11,174.76
3,BAC,37.91999816894531,78,16.27,0.53,36.92,34.09,22.95,43.49
4,CBRE,82.95999908447266,89,33.3,1.83,77.21,71.44,41.03,90.21
5,CE,152.35000610351562,81,8.54,0.53,146.24,139.9,91.13,171.0
6,CF,47.15999984741211,79,25.33,-2.74,46.9,42.91,25.3,57.19
7,CINF,118.52999877929688,71,6.29,1.89,103.8,97.13,69.92,124.37
8,COF,157.52000427246094,99,10.3,1.73,132.06,119.36,60.3,168.0
9,CPRT,140.13999938964844,75,39.8,1.54,120.28,118.86,84.66,141.32
10,DE,342.489990234375,93,23.61,0.57,337.55,313.49,172.7,400.34
11,DFS,120.43000030517578,99,13.54,0.26,103.01,94.69,47.42,127.65
12,F,13.609999656677246,94,13.69,0.2,12.18,11.18,6.41,16.45
13,FDX,292.489990234375,86,25.75,1.11,277.83,277.07,162.81,319.9
14,FITB,36.400001525878906,94,13.37,-3.83,35.71,32.77,18.26,43.06
15,FRC,195.52999877929688,85,30.54,1.45,170.8,159.9,100.38,202.07
16,GM,55.459999084472656,96,8.95,0.68,54.68,50.47,24.44,64.3
17,GOOG,2636.909912109375,81,35.14,1.27,2174.0,2046.35,1406.55,2659.92
18,GOOGL,2539.39990234375,76,33.84,1.26,2143.57,2022.31,1402.15,2586.53
19,GS,364.7999877929688,85,9.06,0.45,327.96,298.8,185.52,393.26
20,HCA,219.1999969482422,95,16.38,1.09,188.96,176.69,103.17,221.71
21,IP,59.130001068115234,82,24.12,0.45,55.14,52.68,33.92,65.27
22,IPG,31.440000534057617,89,28.35,0.97,28.65,26.37,15.92,34.43
23,IVZ,25.020000457763672,98,16.36,0.43,24.09,21.67,9.72,29.71
24,KEYS,155.00999450683594,71,38.8,1.74,142.81,134.85,90.62,158.82
25,LB,72.75,100,24.25,0.57,57.96,52.2,17.77,77.87
26,LKQ,49.470001220703125,86,19.84,0.43,43.38,40.9,26.73,51.68
27,LNC,59.68999862670898,83,17.12,0.18,59.09,54.1,29.42,71.68
28,LRCX,588.47998046875,80,24.88,0.77,578.75,533.43,292.28,673.8
29,MS,91.25,91,11.94,1.83,80.2,72.85,45.86,94.27
30,MSI,219.9900054931641,78,38.31,1.69,188.76,182.93,134.72,225.01
31,NTAP,77.37000274658203,85,23.95,1.76,71.83,65.91,40.08,84.19
32,NUE,92.04000091552734,97,17.09,0.59,75.88,69.37,40.42,110.97
33,OKE,53.310001373291016,95,20.61,1.71,48.21,43.66,23.28,57.55
34,ORCL,87.48999786376953,75,19.23,1.52,71.39,67.95,53.66,88.85
35,PH,300.0,80,25.46,1.39,296.23,281.6,175.02,324.68
36,PNC,183.42999267578125,88,9.59,-8.51,172.35,159.13,101.55,203.88
37,PNR,69.08999633789062,81,27.9,1.37,61.26,58.57,40.98,71.0
38,PRU,98.7300033569336,79,14.67,0.68,91.77,85.85,60.16,109.17
39,PWR,87.94000244140625,97,25.58,1.31,85.27,80.02,39.2,101.96
40,QRVO,187.67999267578125,75,29.7,0.96,179.14,169.97,111.31,201.68
41,RHI,85.9800033569336,78,29.77,0.79,78.45,73.3,48.29,92.32
42,RJF,128.64999389648438,89,17.18,0.7,118.77,109.67,67.66,138.56
43,SCHW,68.88999938964844,94,29.72,1.21,64.58,59.14,32.66,76.37
44,SNA,219.8000030517578,78,17.65,1.81,213.15,200.51,136.22,259.99
45,TGT,251.1499938964844,96,20.51,1.28,203.0,193.04,119.04,254.53
46,TROW,203.41000366210935,71,17.27,0.98,171.56,162.74,121.58,212.41
47,TXT,66.27999877929688,93,35.27,0.73,57.44,53.14,31.82,70.68
48,UHS,151.3300018310547,71,12.83,1.76,141.98,136.53,95.03,162.51
49,UPS,210.57000732421875,87,35.56,1.0,181.46,177.55,117.06,219.59
50,URI,306.0799865722656,92,24.13,1.25,297.08,273.86,151.41,354.6
51,WFC,44.27999877929688,87,30.41,0.1,39.27,35.59,20.76,48.13
52,WHR,219.8600006103516,70,10.26,1.29,212.1,206.5,141.21,257.68
